% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	all	NUMERIC
@ATTRIBUTE	can	NUMERIC
@ATTRIBUTE	is	NUMERIC
@ATTRIBUTE	it	NUMERIC
@ATTRIBUTE	an	NUMERIC
@ATTRIBUTE	as	NUMERIC
@ATTRIBUTE	at	NUMERIC
@ATTRIBUTE	have	NUMERIC
@ATTRIBUTE	in	NUMERIC
@ATTRIBUTE	out	NUMERIC
@ATTRIBUTE	what	NUMERIC
@ATTRIBUTE	from	NUMERIC
@ATTRIBUTE	for	NUMERIC
@ATTRIBUTE	there	NUMERIC
@ATTRIBUTE	when	NUMERIC
@ATTRIBUTE	been	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	which	NUMERIC
@ATTRIBUTE	you	NUMERIC
@ATTRIBUTE	has	NUMERIC
@ATTRIBUTE	was	NUMERIC
@ATTRIBUTE	more	NUMERIC
@ATTRIBUTE	be	NUMERIC
@ATTRIBUTE	we	NUMERIC
@ATTRIBUTE	his	NUMERIC
@ATTRIBUTE	that	NUMERIC
@ATTRIBUTE	who	NUMERIC
@ATTRIBUTE	but	NUMERIC
@ATTRIBUTE	they	NUMERIC
@ATTRIBUTE	not	NUMERIC
@ATTRIBUTE	one	NUMERIC
@ATTRIBUTE	with	NUMERIC
@ATTRIBUTE	by	NUMERIC
@ATTRIBUTE	he	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	on	NUMERIC
@ATTRIBUTE	about	NUMERIC
@ATTRIBUTE	like	NUMERIC
@ATTRIBUTE	i	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	up	NUMERIC
@ATTRIBUTE	or	NUMERIC
@ATTRIBUTE	this	NUMERIC
@ATTRIBUTE	s	NUMERIC
@ATTRIBUTE	so	NUMERIC
@ATTRIBUTE	t	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	my	NUMERIC
@ATTRIBUTE	are	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
1.06,0.71,0.71,0.71,1.06,0.18,0.53,0.53,0.53,1.94,0.18,0.35,0.53,0.88,0.53,0.0,0.53,2.12,0.0,0.71,0.18,0.18,0.71,1.06,0.53,0.0,0.88,0.0,0.35,0.35,0.35,0.18,0.35,0.35,0.53,1.76,0.88,0.71,0.0,0.18,2.29,0.35,0.35,0.35,0.71,0.88,0.18,5.29,0.0,1.41,female
3.3,0.0,0.0,0.38,0.38,0.13,0.63,0.89,0.0,2.28,0.25,0.13,0.13,1.27,0.0,0.76,0.13,1.52,0.0,1.27,0.0,1.14,0.0,0.0,0.38,0.25,0.89,0.25,0.51,0.25,0.0,0.63,0.76,0.13,0.38,2.92,0.89,0.13,0.25,0.38,1.4,0.0,0.0,0.13,0.89,0.25,0.0,4.57,0.38,0.0,male
1.95,0.2,0.3,1.1,1.25,0.5,0.5,0.7,0.1,0.85,0.15,0.25,0.9,0.6,0.25,0.0,0.35,2.05,0.2,0.4,0.85,0.4,0.25,0.85,0.4,0.2,0.9,0.75,0.2,0.05,0.55,0.15,0.55,0.4,0.5,1.6,1.4,0.2,0.0,0.3,3.65,0.25,0.35,0.8,1.95,0.05,0.2,6.34,0.3,0.2,female
4.03,0.71,0.24,1.66,0.47,0.71,0.59,0.47,1.19,1.78,0.0,0.36,0.71,0.95,0.59,0.24,0.24,2.37,0.71,0.0,0.0,0.47,0.36,0.95,0.59,0.0,0.71,0.24,0.71,0.12,1.07,0.12,0.95,0.36,0.0,2.14,0.71,0.36,0.24,1.19,2.49,0.0,0.47,0.59,0.83,0.12,0.0,4.74,0.36,1.19,female
3.27,0.6,0.47,0.68,3.39,0.11,0.49,0.64,0.75,1.39,0.49,0.92,0.28,0.83,0.79,0.38,0.26,3.44,0.02,2.28,0.11,0.98,0.13,0.58,0.26,0.11,2.35,0.3,0.9,0.77,0.64,0.28,0.75,0.17,0.21,1.77,0.62,0.38,0.85,3.37,1.45,0.45,0.3,0.49,2.03,0.47,1.0,4.01,0.51,0.45,male
3.84,0.45,0.3,0.83,1.58,0.3,0.75,0.6,0.38,2.56,0.68,0.83,0.23,0.98,0.68,0.53,0.53,2.64,0.08,1.81,0.23,0.68,0.38,0.6,2.41,0.0,0.98,0.23,0.53,0.08,0.6,0.45,0.45,0.23,0.0,2.48,0.68,0.45,0.3,0.38,2.18,0.23,0.38,0.23,1.28,0.98,0.45,4.07,0.08,1.13,male
2.59,0.94,0.0,0.0,0.94,0.0,0.47,0.0,1.18,0.94,0.71,0.0,0.0,0.71,0.47,0.0,0.71,0.71,0.24,0.24,0.47,0.0,0.24,0.24,0.24,0.0,1.41,0.0,0.47,0.24,0.0,0.24,0.71,0.0,0.0,1.18,0.24,0.0,0.47,2.82,1.65,0.0,0.0,0.24,0.47,0.94,0.0,2.59,0.71,0.47,male
2.3,0.3,0.2,1.3,1.2,0.8,0.8,0.2,0.1,0.8,0.2,0.4,0.6,0.8,0.1,0.3,0.0,3.21,0.0,0.5,0.1,0.6,0.0,0.4,0.1,1.0,1.2,0.7,0.3,0.2,0.7,0.3,0.7,0.7,0.5,3.51,0.5,0.3,0.4,0.2,1.4,0.3,0.5,0.3,2.3,0.3,0.7,3.11,0.1,0.3,female
2.02,0.16,0.16,0.48,0.97,0.56,0.97,0.32,0.65,0.97,0.32,0.32,0.24,0.81,0.16,0.4,0.24,2.66,0.16,0.08,0.08,1.13,0.0,0.08,0.32,0.08,1.61,0.56,0.32,1.21,0.32,0.16,0.48,0.65,0.24,1.94,1.21,0.48,0.16,0.65,1.45,0.32,0.48,0.16,1.45,0.32,0.65,4.84,0.16,0.4,female
2.64,0.17,0.33,0.5,2.64,0.5,0.33,0.17,0.17,1.65,1.32,0.0,0.17,0.5,0.5,0.33,0.17,2.64,0.17,3.14,0.33,0.0,0.66,0.33,0.17,0.0,1.65,0.0,0.66,0.17,0.83,0.33,0.33,0.33,0.0,2.81,0.66,0.5,0.0,0.0,3.47,0.83,0.99,0.0,1.32,0.17,0.66,4.79,0.0,0.5,female
1.78,0.15,0.15,0.44,0.89,0.15,0.59,0.74,0.3,1.48,0.0,0.74,0.3,0.3,0.0,0.0,0.15,2.81,0.0,0.44,0.15,0.89,0.15,0.3,0.15,0.15,1.48,0.15,0.74,0.74,0.59,0.15,0.3,0.44,0.44,2.67,1.19,1.78,0.44,0.74,3.56,0.59,0.74,1.19,1.33,0.3,0.15,6.22,0.0,0.59,female
1.82,0.39,0.39,2.86,1.43,0.26,0.52,0.65,0.13,1.04,0.0,0.26,0.26,0.91,0.13,0.26,0.13,1.69,0.91,0.13,0.78,0.0,0.13,0.52,0.13,0.26,0.91,0.13,0.91,0.26,1.04,0.26,0.39,0.52,0.13,1.82,1.04,0.13,0.0,0.26,3.38,0.0,1.04,0.52,0.65,0.39,0.26,7.02,0.13,0.91,female
2.8,0.47,0.84,0.75,1.5,0.09,0.0,0.84,0.28,2.15,0.47,0.37,0.09,1.59,0.47,0.09,0.0,2.43,0.47,4.39,0.09,0.0,0.19,0.09,0.19,0.0,0.65,0.09,0.93,0.47,0.56,0.47,0.84,0.09,0.09,0.84,0.56,0.47,0.28,0.56,1.21,0.28,0.84,0.28,1.78,0.65,1.5,4.21,0.28,0.47,female
1.75,0.18,0.35,2.28,0.53,0.18,0.7,0.53,1.05,2.8,0.18,0.0,0.18,1.23,0.35,0.35,0.0,2.28,0.0,0.88,0.35,0.0,1.05,0.53,0.88,0.0,1.93,0.35,0.7,0.0,0.53,0.35,0.35,0.18,0.7,1.23,1.75,0.35,0.0,0.88,1.93,0.7,0.18,1.05,0.88,0.18,0.53,5.25,0.0,1.23,female
1.96,0.3,0.0,0.6,0.45,0.15,0.75,0.3,0.15,1.51,0.45,0.15,0.15,0.75,0.0,0.15,0.3,2.86,0.0,0.0,0.45,1.51,0.0,0.0,0.45,0.75,0.6,0.6,0.45,0.75,0.3,0.45,0.75,0.9,1.51,4.37,1.05,0.3,0.15,1.36,2.86,0.15,0.0,0.3,1.05,0.75,0.3,4.82,0.6,0.15,male
2.87,0.24,0.24,0.84,1.55,0.0,0.12,0.36,0.6,1.67,0.24,0.24,0.48,0.72,0.12,0.0,0.12,2.15,0.36,0.96,0.48,0.48,0.36,0.12,0.36,0.12,0.84,0.0,0.6,0.6,0.36,0.36,0.72,0.84,0.12,2.15,1.43,0.12,0.72,0.6,2.75,0.0,0.36,0.12,2.03,0.24,0.36,6.21,0.24,0.72,male
2.98,0.22,0.44,2.21,1.1,0.44,0.77,0.33,0.88,0.99,0.11,0.11,0.66,1.76,0.88,0.11,0.11,3.75,0.33,0.44,0.33,0.0,0.0,0.77,0.0,0.11,0.88,0.88,0.33,0.55,0.66,0.22,0.99,0.44,0.0,2.32,0.77,0.44,0.11,0.55,2.09,0.11,1.32,1.21,1.21,0.11,0.0,4.3,0.22,1.21,female
2.92,0.0,0.97,0.78,0.39,0.19,0.0,0.58,0.78,2.53,0.19,0.0,0.19,0.19,0.39,0.0,0.0,3.9,0.0,0.39,0.58,0.0,0.58,0.58,0.0,0.39,1.36,0.58,0.19,2.53,0.0,0.39,0.58,0.0,0.19,2.14,0.78,0.97,0.0,0.0,2.53,0.19,0.39,0.39,0.39,0.19,0.58,6.04,0.0,1.36,female
3.29,0.71,0.32,0.39,2.72,0.04,0.28,0.67,0.32,0.99,0.85,0.49,0.42,0.81,0.81,0.53,0.14,2.4,0.07,2.05,0.25,2.05,0.07,0.28,1.31,0.18,2.12,0.21,0.32,0.53,0.14,0.35,0.49,0.18,0.46,2.83,0.92,0.25,0.81,3.5,1.59,0.28,0.25,0.49,1.48,0.53,0.49,3.46,0.57,0.21,male
2.16,0.51,0.38,1.27,1.4,0.38,0.63,1.27,0.38,1.65,0.25,0.0,0.13,0.38,0.38,0.0,0.38,1.52,0.13,0.38,0.13,0.13,0.13,0.38,0.0,0.25,1.27,0.25,0.38,0.38,0.25,0.38,0.76,1.14,0.25,3.3,1.02,0.25,0.13,1.14,2.54,0.13,1.02,0.89,1.65,0.13,0.89,6.47,0.25,0.51,male
1.88,0.25,0.41,0.98,0.57,0.33,1.06,0.41,0.49,1.8,0.16,0.16,0.0,0.98,0.25,0.33,0.0,2.13,0.33,0.74,0.0,1.55,0.25,0.33,0.41,0.74,1.31,0.33,0.9,0.49,0.82,0.25,0.74,0.41,0.57,2.29,0.57,0.25,0.25,0.25,1.47,0.41,0.08,0.33,1.55,0.33,0.82,4.17,0.0,0.82,female
3.69,0.26,0.17,2.06,0.69,0.77,0.86,0.77,0.34,3.43,0.17,0.17,0.26,0.77,0.34,0.17,0.69,2.14,0.43,0.09,0.34,0.51,0.09,0.26,0.0,0.34,1.54,0.43,0.34,0.43,0.43,0.0,0.6,0.6,0.43,3.6,0.51,0.09,0.09,0.09,2.92,0.34,0.09,0.51,1.03,0.17,0.09,4.8,0.0,0.69,male
2.15,0.95,0.72,2.86,1.43,0.24,0.48,0.0,0.24,0.24,0.72,0.48,0.24,0.95,0.48,0.0,0.24,2.15,0.0,0.0,0.48,0.0,0.0,0.72,0.95,0.72,2.39,0.24,0.95,1.43,0.72,0.24,0.95,0.24,0.48,1.43,0.95,0.24,0.95,0.48,3.82,0.95,0.72,0.24,0.72,0.24,0.95,8.11,1.19,0.72,male
3.63,0.14,0.27,1.37,0.89,0.21,0.89,0.27,0.27,2.19,0.0,0.34,0.48,0.89,0.21,0.21,0.27,1.78,0.48,0.0,0.62,0.34,0.41,0.34,0.0,0.55,1.71,0.34,0.55,0.68,0.75,0.0,0.82,0.82,0.82,1.09,0.82,0.21,0.21,0.14,1.85,0.07,0.21,0.27,1.3,0.27,0.14,5.13,0.07,0.82,male
1.72,0.0,0.43,1.5,1.07,0.43,0.86,0.21,0.86,1.5,0.0,0.0,0.43,1.07,0.43,0.21,0.64,2.36,0.43,0.0,0.64,0.0,0.0,0.86,0.21,0.0,0.64,0.0,0.21,0.21,0.21,0.21,0.0,1.29,0.43,2.15,0.43,0.43,0.0,0.0,1.93,0.86,0.21,0.64,0.43,0.0,0.21,5.15,0.0,1.29,female
3.54,0.28,0.45,1.12,1.29,0.28,1.23,0.62,0.95,1.68,0.22,0.79,0.62,1.12,0.45,0.22,0.45,2.24,0.73,0.73,0.56,0.17,0.34,0.22,2.92,0.28,0.79,0.22,0.79,0.39,0.28,0.22,0.95,0.17,0.45,3.03,0.84,0.34,0.56,0.22,2.64,0.28,0.34,0.67,1.4,0.39,0.06,4.55,0.0,0.95,male
3.68,0.26,0.0,0.68,1.63,0.34,0.86,0.43,0.77,2.4,0.26,0.77,0.43,0.86,0.17,0.0,0.6,1.63,0.34,0.77,0.17,0.51,0.43,0.68,0.86,0.34,1.11,0.34,0.34,0.0,0.26,0.43,0.77,0.68,0.26,3.08,0.51,0.43,0.17,1.46,2.31,0.26,0.17,0.6,1.2,0.34,0.17,4.71,0.26,0.6,male
2.12,0.3,0.0,1.52,0.61,0.0,0.0,0.0,0.3,1.82,0.61,0.3,0.61,0.0,0.0,0.3,0.3,3.03,0.3,0.3,0.3,0.3,0.61,0.61,0.61,0.0,1.82,0.3,0.61,0.0,0.3,0.0,0.3,0.0,0.0,1.52,0.91,0.61,0.61,1.21,3.33,0.0,0.61,1.82,1.52,0.0,0.0,7.27,0.0,0.0,female
3.05,0.14,0.28,1.11,0.42,0.14,0.83,0.42,0.42,1.66,0.55,0.14,0.69,0.69,0.42,0.42,0.55,2.08,0.42,0.0,0.83,1.39,0.42,0.14,0.0,0.69,0.42,0.42,0.69,0.0,0.42,0.42,0.42,0.42,0.69,1.11,1.39,0.28,0.0,0.0,2.63,0.0,0.55,0.28,1.39,0.14,0.0,7.34,0.14,0.14,male
3.02,0.34,0.41,0.69,1.17,0.21,0.76,1.24,0.62,1.79,0.27,0.55,0.96,1.37,0.34,0.69,0.21,3.78,0.21,1.86,0.14,1.51,0.55,0.76,0.69,0.21,0.62,0.0,0.34,0.07,0.21,0.41,0.96,0.14,0.27,2.41,0.55,0.48,0.34,4.4,1.1,0.41,0.27,1.03,0.82,0.41,0.14,3.51,1.31,0.48,male
2.68,0.13,0.67,0.94,1.74,0.13,1.21,0.13,0.67,1.07,0.4,0.13,0.94,2.01,0.27,0.27,0.0,2.55,0.13,0.54,0.0,0.0,0.67,1.34,0.4,0.0,0.67,0.0,0.4,1.07,0.54,0.13,0.54,0.27,0.0,2.95,0.13,0.0,0.13,0.0,2.82,0.13,1.34,0.13,0.67,0.4,0.0,3.89,0.0,1.21,female
4.75,0.0,0.16,0.98,0.82,0.33,0.16,0.98,0.33,0.98,0.0,0.0,0.82,0.65,0.82,0.16,0.16,2.78,0.49,0.82,0.49,1.47,0.33,0.49,0.0,0.0,1.15,0.33,0.16,0.33,0.16,0.33,0.98,0.33,0.16,1.8,0.0,0.0,0.16,0.49,3.27,0.16,0.82,0.0,0.98,0.16,0.0,7.69,0.0,0.65,female
3.35,0.27,0.18,0.91,2.08,0.91,0.27,0.72,0.82,1.99,0.82,0.82,0.45,1.27,0.45,0.18,0.82,2.81,0.36,1.27,0.18,1.72,0.18,0.63,0.09,0.36,1.09,0.36,0.54,0.18,0.09,0.09,1.18,0.09,0.54,1.81,0.91,0.27,0.45,3.62,1.09,0.54,0.18,0.82,1.27,0.63,0.72,3.35,1.27,0.18,male
2.24,0.0,0.26,0.53,0.4,0.79,0.92,0.26,0.13,1.58,0.0,0.13,0.53,1.32,0.0,0.4,0.13,2.9,0.26,0.0,0.13,2.11,0.13,0.13,0.13,1.05,0.53,0.66,1.19,0.4,1.05,0.4,0.66,0.26,0.53,1.58,0.92,0.0,0.26,1.05,2.5,0.26,0.53,0.66,1.98,0.4,0.26,5.8,0.26,0.0,male
2.53,0.23,0.12,1.5,1.04,1.04,0.23,0.35,0.58,1.15,0.12,0.46,0.23,1.38,0.12,0.12,0.12,2.88,0.23,0.23,0.46,0.35,0.23,0.12,0.0,0.12,1.61,0.12,0.12,1.15,0.69,0.23,0.58,0.23,0.23,2.19,0.46,0.35,0.35,0.35,3.8,0.46,0.23,0.81,1.73,0.46,0.46,7.71,0.0,0.12,male
2.31,0.0,0.0,0.77,0.0,0.77,1.54,1.54,0.77,1.54,0.0,0.0,0.77,0.77,0.0,0.0,0.77,0.77,2.31,0.0,0.0,0.0,0.77,0.0,0.0,0.77,0.0,0.0,0.0,0.77,0.0,0.0,2.31,0.0,1.54,0.77,2.31,0.0,0.0,1.54,2.31,0.0,0.0,0.77,1.54,1.54,0.0,4.62,0.0,0.0,male
1.75,0.25,0.25,1.17,1.34,0.42,0.58,0.33,0.42,1.25,0.42,0.33,0.58,2.51,0.25,0.17,0.67,3.34,0.33,0.17,0.25,1.67,0.17,1.0,0.33,0.0,1.17,0.25,0.42,0.0,0.84,0.33,0.58,0.42,0.0,2.84,0.67,0.08,0.0,0.25,1.67,0.25,0.17,0.67,0.92,0.33,0.17,5.43,0.0,0.17,female
0.85,0.28,0.28,0.85,0.71,0.14,0.14,0.99,0.28,2.12,0.28,0.42,0.28,1.27,0.0,0.56,0.56,2.82,0.0,0.56,0.14,0.28,0.28,0.0,0.0,0.14,0.85,0.14,0.28,1.27,0.0,0.0,0.99,0.14,0.56,2.82,0.56,0.14,0.85,1.55,1.27,0.71,0.0,0.71,1.13,0.14,0.28,5.5,0.99,0.0,male
2.54,0.0,0.34,1.44,1.52,0.25,0.25,0.34,0.25,1.27,0.08,0.0,0.42,1.01,0.08,0.08,0.76,3.13,0.76,0.0,0.93,0.51,0.25,1.18,0.08,0.0,1.44,0.42,0.42,0.08,0.59,0.42,0.68,0.68,0.0,2.54,0.17,0.0,0.08,0.0,3.38,0.08,0.34,1.01,0.68,0.08,0.0,7.44,0.08,0.59,female
2.66,0.57,0.53,0.83,2.1,0.3,0.3,0.63,0.2,1.53,0.4,0.67,0.5,1.07,0.53,0.27,0.4,2.53,0.23,1.97,0.1,0.87,0.27,0.67,1.5,0.23,2.0,0.1,0.53,0.27,0.23,0.4,0.93,0.2,0.23,2.7,0.93,0.4,0.33,2.66,2.0,0.37,0.23,0.83,1.73,0.7,0.6,4.36,0.43,0.37,male
2.63,0.0,0.0,2.38,0.38,0.0,0.5,0.0,0.88,2.38,0.13,0.38,0.75,0.75,0.25,0.0,1.0,1.88,0.13,0.0,0.88,0.25,0.25,0.13,0.0,0.88,2.38,0.75,0.5,0.13,1.13,0.13,0.38,0.63,0.38,2.25,0.38,0.63,0.0,0.25,3.13,0.25,0.0,0.88,0.75,0.13,0.13,6.63,0.0,0.88,male
3.47,0.3,0.0,0.3,1.21,0.76,0.3,0.3,0.3,0.76,0.6,0.3,0.6,1.06,0.6,0.3,0.45,2.72,0.3,1.06,0.15,1.21,0.3,0.45,0.76,0.0,1.21,0.15,1.21,0.15,0.76,0.0,1.21,0.3,0.0,2.87,1.06,0.45,0.6,1.06,2.27,0.15,0.76,0.3,0.3,0.45,0.76,4.38,0.6,0.3,female
3.24,0.18,0.54,1.08,1.08,0.0,0.9,0.18,0.72,1.8,0.0,0.18,0.0,0.54,0.0,0.0,0.18,1.62,0.36,0.18,0.18,0.0,0.54,0.18,0.18,0.72,1.08,0.36,0.54,0.36,0.72,0.0,0.9,1.08,0.18,1.62,0.36,0.0,0.36,0.18,3.78,0.54,0.54,0.18,1.98,0.18,0.36,7.03,0.0,0.36,male
2.26,0.35,1.13,0.74,2.13,0.39,0.35,0.26,0.52,1.35,0.35,1.35,0.22,0.83,0.13,0.17,0.09,3.52,0.04,3.87,0.39,0.65,0.26,0.48,0.04,0.04,3.09,0.13,0.78,0.26,0.26,0.09,0.7,0.22,0.13,2.69,0.7,0.3,0.74,2.39,2.69,0.22,0.74,0.48,1.26,0.43,1.13,3.35,0.3,0.48,male
3.65,0.36,0.36,0.73,0.85,0.49,0.73,0.0,0.36,1.46,0.36,0.0,0.36,0.61,0.36,0.0,0.24,2.07,0.61,0.61,0.24,1.34,0.0,0.12,0.0,0.0,0.24,0.0,0.24,0.24,0.49,0.0,0.73,0.36,0.12,1.7,0.36,0.12,0.12,0.0,2.07,0.61,0.24,0.49,1.09,0.24,0.24,7.78,0.0,0.85,female
1.91,0.0,0.19,0.76,0.57,0.38,0.19,0.19,0.38,5.34,0.19,0.19,0.57,1.91,0.19,0.0,0.0,2.67,0.57,0.38,0.38,0.38,0.57,0.19,0.0,0.0,0.95,0.0,0.19,0.19,0.0,0.76,0.38,0.95,0.0,3.44,0.19,0.19,0.0,0.0,3.44,0.76,0.0,0.0,0.38,0.0,0.0,7.44,0.0,0.76,female
3.0,0.71,0.09,1.15,1.94,0.35,0.88,1.06,0.62,1.23,0.44,0.97,0.35,0.18,0.71,0.18,0.18,3.44,0.44,1.23,0.0,1.23,0.26,0.35,3.09,0.0,1.06,0.26,0.88,0.53,0.88,0.35,0.88,0.09,0.18,1.85,0.97,0.71,0.26,0.62,2.03,0.53,0.35,0.44,0.53,0.97,0.35,4.76,0.0,0.53,male
2.44,0.49,0.73,0.73,1.22,0.24,0.0,0.0,0.0,3.17,0.73,0.0,0.49,1.71,0.0,0.24,0.0,2.44,0.24,0.73,0.0,0.0,0.0,0.98,0.98,0.0,2.2,0.24,0.0,0.0,0.0,0.24,0.73,0.0,0.0,2.68,1.71,0.24,0.0,0.49,2.2,0.0,0.0,1.22,2.2,0.49,0.49,4.63,0.24,0.0,female
2.22,0.74,0.0,0.99,0.91,0.16,0.66,0.08,0.49,1.48,0.25,0.41,0.41,0.66,0.08,0.16,0.25,1.4,0.16,0.66,0.25,0.74,0.16,0.49,0.49,0.16,1.23,0.74,0.66,0.08,0.41,0.25,0.66,0.74,1.07,2.22,0.66,0.82,0.33,0.41,1.81,0.33,0.0,0.25,2.06,0.58,1.23,3.54,0.08,0.0,female
3.3,0.3,0.22,0.22,2.02,0.22,0.3,0.75,0.52,1.95,0.3,0.37,0.15,0.37,0.75,0.45,0.45,3.0,0.0,0.9,0.0,3.0,0.15,0.15,0.75,0.15,1.35,0.45,0.37,0.82,0.15,0.45,0.97,0.3,0.97,2.92,0.75,0.82,0.22,2.17,1.87,0.52,0.07,0.97,1.35,0.6,0.67,4.27,0.22,0.07,male
2.1,1.2,0.3,1.5,0.45,0.0,0.15,0.3,1.05,2.25,0.0,0.75,1.05,0.3,0.15,0.0,0.0,4.8,0.0,0.3,0.0,0.3,0.0,0.3,2.25,0.15,0.75,0.15,0.45,0.75,0.45,0.3,0.45,0.45,0.0,1.5,0.6,0.15,0.15,1.5,1.8,0.0,0.0,0.3,0.75,0.15,0.45,5.1,0.75,0.6,male
3.92,0.46,0.07,0.46,3.45,0.13,0.73,0.66,0.4,1.2,0.8,0.13,0.66,0.66,0.53,0.6,0.07,1.66,0.13,1.46,0.33,2.12,0.27,0.27,1.39,0.0,2.12,0.13,0.46,0.53,0.13,0.4,0.6,0.13,0.2,1.99,0.8,0.6,0.66,2.99,1.13,0.4,0.4,0.4,1.46,0.8,0.66,3.45,0.07,0.33,male
2.25,0.13,0.4,0.13,1.06,0.53,0.92,0.26,0.13,1.98,0.4,0.4,0.0,1.06,0.0,0.26,0.4,1.32,0.26,1.59,0.0,0.66,0.66,0.13,0.53,0.26,1.19,0.26,0.66,0.92,0.13,0.53,0.4,0.13,1.45,2.25,0.26,1.19,0.4,1.98,1.59,0.4,0.26,0.26,0.79,0.4,0.66,5.02,0.53,0.4,male
4.15,0.11,0.34,1.57,0.22,0.56,0.67,0.34,0.45,1.57,0.34,0.0,0.56,1.57,0.34,0.0,0.0,2.58,0.45,0.0,0.34,0.45,0.11,0.67,0.45,0.0,1.01,0.34,0.56,0.0,0.56,0.45,1.12,0.67,0.34,2.02,1.23,0.11,0.22,0.67,3.48,0.11,0.11,0.56,1.23,0.22,0.0,7.29,0.67,0.22,female
2.33,0.58,0.39,1.94,1.94,0.78,0.97,0.0,0.78,2.52,0.0,0.0,0.39,1.16,0.39,0.39,0.58,1.94,0.19,1.36,0.0,1.55,0.19,0.19,0.19,0.0,0.97,0.0,0.58,0.78,0.39,0.0,0.19,0.39,0.0,3.49,0.97,0.78,0.19,1.55,1.74,0.0,0.19,0.97,0.19,0.19,0.0,4.46,0.78,1.55,female
3.32,0.39,0.08,0.62,0.77,0.23,0.54,0.39,0.54,1.93,0.23,1.23,0.62,1.08,0.85,0.46,0.46,2.85,0.31,3.09,0.62,0.69,0.23,0.46,0.31,0.08,1.08,0.31,0.39,0.31,0.31,0.93,1.23,0.15,0.31,1.54,0.93,0.39,0.31,3.32,2.31,0.08,0.23,0.15,1.0,0.46,0.08,4.63,0.62,0.62,male
1.89,0.12,0.35,0.83,1.18,0.47,0.83,0.59,0.47,1.65,0.47,0.24,0.35,0.59,0.0,0.35,0.0,2.95,0.0,0.94,0.12,0.12,0.47,0.24,0.71,0.12,1.65,0.24,0.47,0.12,0.35,0.59,1.06,0.24,0.0,2.0,0.94,0.35,0.35,2.24,2.95,0.47,1.06,0.83,1.18,0.59,0.59,4.01,0.59,0.47,female
2.82,0.3,0.79,0.68,2.93,0.41,0.53,0.41,0.75,1.66,0.41,0.87,0.45,0.64,0.45,0.56,0.3,2.6,0.23,2.18,0.19,1.09,0.26,0.68,0.68,0.34,2.48,0.11,0.87,0.45,0.3,0.11,1.02,0.04,0.6,2.14,0.6,0.34,0.56,2.78,2.07,0.15,0.53,0.75,2.48,0.68,0.6,3.65,0.75,0.41,male
2.11,0.23,0.12,0.47,2.35,0.47,0.82,0.47,1.06,0.82,0.35,0.82,0.47,0.94,0.7,0.12,0.82,3.64,0.23,1.88,0.47,0.12,0.47,1.06,0.35,0.23,0.23,0.23,0.47,0.0,0.23,0.12,0.82,0.0,0.12,3.52,0.82,0.35,0.12,2.35,3.17,0.35,0.23,0.23,1.29,0.0,0.23,4.11,0.7,0.35,male
2.1,0.53,0.42,1.05,1.05,0.21,0.95,0.42,0.42,2.21,0.63,0.42,0.32,0.84,0.32,0.63,0.0,2.84,0.21,1.79,0.21,0.53,0.42,0.32,0.53,0.63,1.26,0.21,0.74,0.53,0.63,0.0,1.26,0.42,0.42,2.31,0.53,0.21,0.21,0.21,2.0,0.32,0.53,0.42,1.05,0.21,0.53,4.52,0.0,0.63,female
1.72,0.19,0.38,0.77,1.53,0.19,1.15,0.38,0.77,1.15,0.0,0.19,0.57,0.57,0.0,0.38,0.0,3.45,0.57,0.19,0.19,0.0,0.19,0.38,0.77,0.0,1.53,0.0,1.15,0.38,0.38,0.0,0.57,0.77,0.0,1.72,1.15,0.77,0.19,1.34,4.21,0.38,0.38,1.15,1.72,0.19,0.38,5.94,0.19,0.96,female
1.59,0.16,0.0,0.32,0.96,0.32,0.32,0.48,0.16,1.11,0.16,0.32,0.32,0.48,0.32,0.64,0.32,3.34,0.16,0.64,0.16,1.91,0.48,0.8,0.16,0.0,1.11,0.48,0.8,0.64,0.48,0.48,0.32,0.64,0.0,0.96,1.11,0.48,0.16,1.75,0.96,0.48,0.16,0.0,1.11,1.43,0.96,3.34,0.32,0.16,female
2.62,0.64,0.07,0.92,0.99,0.5,0.35,0.78,0.57,1.63,0.14,0.64,0.21,1.13,0.14,0.35,0.21,2.19,0.07,2.05,0.14,0.71,0.14,0.35,0.07,0.14,0.78,0.07,0.21,0.14,0.14,0.07,0.78,0.07,0.07,2.69,0.92,0.64,0.35,5.24,1.63,0.35,0.07,0.21,1.42,0.42,0.42,3.96,1.84,0.42,male
3.03,0.18,0.0,1.1,1.56,0.18,1.19,0.28,0.37,1.93,0.37,0.46,0.18,1.29,0.18,0.37,0.64,2.3,0.18,0.0,1.01,0.73,0.46,0.55,0.18,0.92,1.1,0.37,0.55,0.09,0.64,0.28,0.83,0.64,1.84,3.12,0.37,0.28,0.09,1.01,2.2,0.09,0.18,0.37,1.29,0.28,0.55,4.5,0.09,0.28,male
